,Descripcion,unidades
0,Huevo Aa Rojo 30Und Pet KIKES,30 und
1,Huevo Napoles De 30U Aa Rosado SUBASTA,30 und
2,Huevo 30Und Rojo Aa SANTA REYES,30 und
3,Queso Fresco X15 Tajadas FINESSE,239 gr
4,Queso Mozarella X30 Tajadas COLANTA,500 gr
5,Queso Mozarella COLANTA,450 gr
6,Arepa extradelgada x 10 unds SARY,600 gr
7,Arepas 10 unds casera SARY,900 gr
8,Arepa Especial Queso 5 Und DON MAIZ,400 gr
9,Arepa Queso 4 Und DON MAIZ,400 gr
10,Deslactosada 1000 Ts X 4 Uds ALQUERIA,4000 ml
11,Leche Deslactosada ALQUERIA,1000 ml
12,Leche Deslactosada Four Pack ALPINA,4000 ml
13,Aceite Familia Multiusos GOURMET,900 ml
14,Aceite de girasol premier x,1000 ml
15,Aceite de Oliva Virgen, 
16,PECHUGA POLLO SIN PIEL CACIQUE, 
17,FILETE DE PECHUGA CACIQUE, 
18,MUSLO DE POLLO SIN PIEL, 
19,Filete de Salmón ANTILLANA,450 gr
20,Salmón Ahumado ANTILLANA,200 gr
21,Pendiente por llenar, 
22,Arroz Vitamor 3Kg DIANA,3000 gr
23,Arroz Premium DIANA,2500 gr
24,Fríjoles Caraota,500 gr
25,Frijol Rojo,500 gr
26,Lentejas,1000 gr
27,Garbanzos,1000 gr
28,AGUARDIENTE S/AZUCAR BTLLA ANTIOQUENO,750 Mililitro
29,Cerveza X 6 LATA DORADA CLUB COLOMBIA,1980 ml
30,Aguardiente Manzanares,750 ml
31,AGUARDIENTE S/AZUCAR ANTIOQUENO,1050 ml
32,Spaguetti Clásico DORIA,1000 gr
33,PASTA SPAGUETTI LA MUNECA,1000 gr
34,PASTA ESPAGUETTI CONZAZONI,1000 gr
35,GALLETAS TACO EXTRALARGO SALTIN NOEL,300 gr
36,GALLETAS X 4 TACOS SALTIN NOEL,354 gr
37,PAN ARTESANAL,500 gr
38,Tortillas Blancas Medianas x,15 unidades
39,Galleta Miel TOSH,243 gr
40,PONQUE TRADICIONAL RAMO,230 gr
41,CHOCOLATE 16 PASTILLAS CORONA,500 gr
42,MANTEQUILLA SIN SAL ALPINA,250 gr
43,Esparcible C/Sal Mesa y Cocina RAMA,440 gr
44,Carne Molida, 
45,Atún lomitos en agua VAN CAMPS,160 gr
46,Atún en aceite VAN CAMPS,160 gr
47,SALCHICHA VIENA ROJA LATA ZENU,150 gr
48,FRIJOL ANTIOQUENO ZENU,580 gr
49,LECHUGA HIDROP. VERDE CRESPA,170 gr
50,Lechuga Batavia,1 und
51,Tomate Chonto, 
52,Cebolla Blanca, 
53,Cebolla Roja, 
54,Ajo Malla Importado x3,0.09 gr
55,Sal Refinada REFISAL,1000 gr
56,Azucar Alta Pureza MANUELITA,1000 gr
57,Limones, 
58,Sal Rosada Himalaya Doy Pack REFISAL,400 gr
59,Azucar Morena MANUELITA,1000 gr
60,Salsa de tomate FRUCO,1000 gr
61,Salsa Pasta Napolitana. BARILLA MARCA EXCLUSIVA,400 gr
62,Naranja Importada, 
63,TOMATE CHERRY,500 gr
64,ALIM LACTEO C/ZUCARITAS X4 UND BON YURT,680 gr
65,KUMIS NATURAL GFA ALPINA,1750 gr
66,ALPINIT FRES/MOR X45 GRS SIXPA ALPINITO,270 gr
67,Queso Campesino X250 Al Vacio COLANTA,250 gr
68,, 
69,, 
70,, 
71,, 
72,, 
73,, 
74,, 
75,, 
76,, 
77,, 
78,, 
79,, 
80,, 
81,, 
82,, 
83,, 
84,, 
85,, 
86,, 
87,, 
88,, 
89,, 
90,, 
91,, 
92,, 
93,, 
94,, 
95,, 
96,, 
97,, 
98,, 
99,, 
